% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 17 2024, 16:12"
% Dimension,1
% Nodes,714
% Expressions,1
% Description,Line graph
% cln1x,Power flow, y component
0.4000004678129667,-791538.6444119887
0.49999933845623323,372442.8500980507
0.5,272377.244422391
-0.5,4876991.179709616
-0.40000005355451246,1.8981074197098482E8
-0.3999999371453867,-4.4103892398462874E8
-0.30000011966669354,-2.5169442103479747E7
-0.29999987572130643,-2.8583803396833308E7
-0.20000018358344934,5.902927040096494E10
-0.19999981426884034,7.783994765082643E10
-0.10000024625290758,3.657278137373493E11
-0.09999975284538491,3.916154815501681E11
-3.085318003983853E-7,4.4204413268044086E11
3.0861930790494146E-7,4.342898492236481E11
0.0999996293694163,3.6308718951226886E11
0.10000036947341928,3.4365084550156384E11
0.19999956693532217,7.539341815445734E10
0.20000042693957107,5.489358507144631E10
0.29999950185795576,-5.75091317893357E8
0.3000004727679491,4.577521331323563E7
0.3999994293182284,-8.938208264351172E8
0.4000004678129667,3469630.7224898166
0.49999933845623323,-2.7332979638820636E8
0.5,3.219691510173895E7
-0.5,4.3428952880105715E9
-0.40000005355451246,3.63797035064563E10
-0.3999999371453867,4.7463027055470474E10
-0.30000011966669354,4.253846012577946E11
-0.29999987572130643,4.2217527292442676E11
-0.20000018358344934,9.849569993797118E11
-0.19999981426884034,9.778001974449717E11
-0.10000024625290758,1.681290853973942E12
-0.09999975284538491,1.6761250137434805E12
-3.085318003983853E-7,1.9244635593261145E12
3.0861930790494146E-7,1.9262810116962603E12
0.0999996293694163,1.6448654910889673E12
0.10000036947341928,1.6273830166345134E12
0.19999956693532217,1.013005022454966E12
0.20000042693957107,9.81663236448441E11
0.29999950185795576,4.6053694620129175E11
0.3000004727679491,4.575504583496504E11
0.3999994293182284,6.2986564282346466E10
0.4000004678129667,3.1563213452087406E10
0.49999933845623323,-1.9683666361330338E10
0.5,-4.2962557962340145E9
-0.5,2.1567822295458557E10
-0.40000005355451246,5.973152618570189E11
-0.3999999371453867,5.862274949310199E11
-0.30000011966669354,1.2104594890159875E12
-0.29999987572130643,1.1763585806547734E12
-0.20000018358344934,2.208457903000345E12
-0.19999981426884034,2.23816122415152E12
-0.10000024625290758,3.4028771229824507E12
-0.09999975284538491,3.4107933739567285E12
-3.085318003983853E-7,3.9912923481324624E12
3.0861930790494146E-7,3.978800021365509E12
0.0999996293694163,3.317419057553796E12
0.10000036947341928,3.36014231161729E12
0.19999956693532217,2.2877278402583237E12
0.20000042693957107,2.3030656607906025E12
0.29999950185795576,1.1941337167284375E12
0.3000004727679491,1.2239606993954922E12
0.3999994293182284,5.4118458467987836E11
0.4000004678129667,6.085918118490447E11
0.49999933845623323,-2.90091932766071E10
0.5,6.911269763102141E10
-0.5,-1.5505177931850235E11
-0.40000005355451246,7.010074352196184E11
-0.3999999371453867,7.107903900706333E11
-0.30000011966669354,2.0196166958347031E12
-0.29999987572130643,2.0213822534266194E12
-0.20000018358344934,3.9697243611060664E12
-0.19999981426884034,3.9367226736335615E12
-0.10000024625290758,5.843449252231061E12
-0.09999975284538491,5.845903401758973E12
-3.085318003983853E-7,6.737075909338696E12
3.0861930790494146E-7,6.674477419303455E12
0.0999996293694163,5.873549167937124E12
0.10000036947341928,5.889298460483576E12
0.19999956693532217,3.92432907027768E12
0.20000042693957107,3.9712156815216235E12
0.29999950185795576,2.040069663903514E12
0.3000004727679491,1.9863447975694927E12
0.3999994293182284,6.720337459285496E11
0.4000004678129667,7.289381805212035E11
0.49999933845623323,-1.1079846885821404E11
0.5,-1.4298197339176472E10
-0.5,-4.38878355209218E11
-0.40000005355451246,9.773789942347676E11
-0.3999999371453867,9.801794068962037E11
-0.30000011966669354,2.637520459916371E12
-0.29999987572130643,2.6005164971294146E12
-0.20000018358344934,5.1178085230533125E12
-0.19999981426884034,5.122149070630639E12
-0.10000024625290758,8.13678683646742E12
-0.09999975284538491,8.272428899846614E12
-3.085318003983853E-7,9.553209868505873E12
3.0861930790494146E-7,9.590808846685574E12
0.0999996293694163,8.291177378077828E12
0.10000036947341928,8.199444962233094E12
0.19999956693532217,5.082312666364637E12
0.20000042693957107,5.024566606407517E12
0.29999950185795576,2.667292960968113E12
0.3000004727679491,2.6889414060879556E12
0.3999994293182284,9.822738257746323E11
0.4000004678129667,9.516174225860297E11
0.49999933845623323,-2.0929527562744675E11
0.5,-1.44194760435641E11
-0.5,-8.312754797597034E11
-0.40000005355451246,1.2164251299839524E12
-0.3999999371453867,1.184637763761459E12
